#t	x1	x2	abserr	h	yscale
5.7660721725e+00	3.4941719397e-03	2.7221416120e-03	2.1496316474e-13	3.0961463948e-02	3.7157295201e-03
5.7970336364e+00	3.4764136914e-03	2.5210724642e-03	2.1410741153e-13	3.1084687545e-02	3.6986586275e-03
5.8281183240e+00	3.4523952306e-03	2.3260814696e-03	2.1284482863e-13	3.1205010647e-02	3.6748507006e-03
5.8593233346e+00	3.4224724698e-03	2.1372604456e-03	2.1119808517e-13	3.1322815956e-02	3.6446828831e-03
5.8906461506e+00	3.3869989138e-03	1.9546823500e-03	2.0918979224e-13	3.1438461157e-02	3.6085302357e-03
5.9220846117e+00	3.3463245511e-03	1.7784022130e-03	2.0684232923e-13	3.1552283284e-02	3.5667644898e-03
5.9536368950e+00	3.3007948669e-03	1.6084580499e-03	2.0417778174e-13	3.1664602622e-02	3.5197529572e-03
5.9853014976e+00	3.2507499664e-03	1.4448717531e-03	2.0121788076e-13	3.1775726419e-02	3.4678575606e-03
6.0170772241e+00	3.1965237967e-03	1.2876499663e-03	1.9798396483e-13	3.1885951978e-02	3.4114339733e-03
6.0489631760e+00	3.1384434595e-03	1.1367849405e-03	1.9449691813e-13	3.1995570148e-02	3.3508308575e-03
6.0809587462e+00	3.0768286065e-03	9.9225537124e-04	1.9077715668e-13	3.2104867909e-02	3.2863891950e-03
6.1130636141e+00	3.0119909090e-03	8.5402721926e-04	1.8684456788e-13	3.2214131772e-02	3.2184416964e-03
6.1452777459e+00	2.9442335970e-03	7.2205451167e-04	1.8271849874e-13	3.2323650637e-02	3.1473122900e-03
6.1776013965e+00	2.8738510611e-03	5.9628012567e-04	1.7841772225e-13	3.2433718998e-02	3.0733156772e-03
6.2100351155e+00	2.8011285115e-03	4.7663655372e-04	1.7396041792e-13	3.2544640233e-02	2.9967569518e-03
6.2425797557e+00	2.7263416905e-03	3.6304665045e-04	1.6936415322e-13	3.2656730122e-02	2.9179312763e-03
6.2752364859e+00	2.6497566331e-03	2.5542436128e-04	1.6464586190e-13	3.2770320909e-02	2.8371236123e-03
6.3080068068e+00	2.5716294716e-03	1.5367543197e-04	1.5982183354e-13	3.2885765728e-02	2.7546084994e-03
6.3408925725e+00	2.4922062802e-03	5.7698099881e-05	1.5490770551e-13	3.3003443460e-02	2.6706498773e-03
6.3738960160e+00	2.4117229565e-03	-3.2616232696e-05	1.4991844534e-13	3.3123764684e-02	2.5855009485e-03
6.4070197806e+00	2.3304051350e-03	-1.1738234373e-04	1.4486834526e-13	3.3247178495e-02	2.4994040770e-03
6.4402669591e+00	2.2484681301e-03	-1.9672055429e-04	1.3977101715e-13	3.3374180462e-02	2.4125907204e-03
6.4736411396e+00	2.1661169042e-03	-2.7075610818e-04	1.3463937852e-13	3.3521222034e-02	2.3308037860e-03
6.5071623616e+00	2.0835069301e-03	-3.3964997614e-04	1.2979589527e-13	3.3674472609e-02	2.2488123184e-03
6.5408368342e+00	2.0008194613e-03	-4.0353066235e-04	1.2493889703e-13	3.3833782863e-02	2.1663762981e-03
